--- Running JMH ---
ArraysSort: PARALLELISM = 3

...

# Run complete. Total time: 03:15:17

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt    Score    Error  Units


Main.Byte.newParallelSort              1000    RANDOM  avgt    4    0,006 ±  0,001  ms/op
Main.Byte.newParallelSort              1000  REPEATED  avgt    4    0,002 ±  0,003  ms/op
Main.Byte.newParallelSort              1000   STAGGER  avgt    4    0,002 ±  0,001  ms/op
Main.Byte.newParallelSort              1000   SHUFFLE  avgt    4    0,002 ±  0,001  ms/op
Main.Byte.newParallelSort             10000    RANDOM  avgt    4    0,016 ±  0,002  ms/op
Main.Byte.newParallelSort             10000  REPEATED  avgt    4    0,012 ±  0,010  ms/op
Main.Byte.newParallelSort             10000   STAGGER  avgt    4    0,011 ±  0,005  ms/op
Main.Byte.newParallelSort             10000   SHUFFLE  avgt    4    0,011 ±  0,001  ms/op
Main.Byte.newParallelSort            100000    RANDOM  avgt    4    0,103 ±  0,022  ms/op
Main.Byte.newParallelSort            100000  REPEATED  avgt    4    0,087 ±  0,002  ms/op
Main.Byte.newParallelSort            100000   STAGGER  avgt    4    0,093 ±  0,001  ms/op
Main.Byte.newParallelSort            100000   SHUFFLE  avgt    4    0,095 ±  0,009  ms/op
Main.Byte.newParallelSort           1000000    RANDOM  avgt    4    0,893 ±  0,003  ms/op
Main.Byte.newParallelSort           1000000  REPEATED  avgt    4    0,875 ±  0,010  ms/op
Main.Byte.newParallelSort           1000000   STAGGER  avgt    4    0,864 ±  0,007  ms/op
Main.Byte.newParallelSort           1000000   SHUFFLE  avgt    4    0,862 ±  0,018  ms/op

Main.Byte.testParallelSort             1000    RANDOM  avgt    4    0,006 ±  0,001  ms/op
Main.Byte.testParallelSort             1000  REPEATED  avgt    4    0,002 ±  0,003  ms/op
Main.Byte.testParallelSort             1000   STAGGER  avgt    4    0,002 ±  0,001  ms/op
Main.Byte.testParallelSort             1000   SHUFFLE  avgt    4    0,002 ±  0,001  ms/op
Main.Byte.testParallelSort            10000    RANDOM  avgt    4    0,016 ±  0,002  ms/op
Main.Byte.testParallelSort            10000  REPEATED  avgt    4    0,012 ±  0,010  ms/op
Main.Byte.testParallelSort            10000   STAGGER  avgt    4    0,011 ±  0,005  ms/op
Main.Byte.testParallelSort            10000   SHUFFLE  avgt    4    0,011 ±  0,001  ms/op
Main.Byte.testParallelSort           100000    RANDOM  avgt    4    0,103 ±  0,022  ms/op
Main.Byte.testParallelSort           100000  REPEATED  avgt    4    0,091 ±  0,002  ms/op
