# Run complete. Total time: 01:21:04

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                           (builder)   (size)  Mode  Cnt       Score      Error  Units
ArraysSort.Byte.testParallelSort       RANDOM      800  avgt    4       2.460 ±    0.340  us/op
ArraysSort.Byte.testParallelSort       RANDOM     7000  avgt    4      10.104 ±    2.273  us/op
ArraysSort.Byte.testParallelSort       RANDOM    50000  avgt    4      56.125 ±    3.690  us/op
ArraysSort.Byte.testParallelSort       RANDOM   300000  avgt    4     276.692 ±    1.322  us/op
ArraysSort.Byte.testParallelSort       RANDOM  2000000  avgt    4    1812.064 ±   18.738  us/op
ArraysSort.Byte.testParallelSort     REPEATED      800  avgt    4       1.186 ±    0.453  us/op
ArraysSort.Byte.testParallelSort     REPEATED     7000  avgt    4       7.867 ±    2.415  us/op
ArraysSort.Byte.testParallelSort     REPEATED    50000  avgt    4      51.000 ±    4.369  us/op
ArraysSort.Byte.testParallelSort     REPEATED   300000  avgt    4     328.756 ±    3.893  us/op
ArraysSort.Byte.testParallelSort     REPEATED  2000000  avgt    4    2231.512 ±   22.047  us/op
ArraysSort.Byte.testParallelSort      STAGGER      800  avgt    4       2.365 ±    0.048  us/op
ArraysSort.Byte.testParallelSort      STAGGER     7000  avgt    4      10.098 ±    1.455  us/op
ArraysSort.Byte.testParallelSort      STAGGER    50000  avgt    4      50.514 ±    0.984  us/op
ArraysSort.Byte.testParallelSort      STAGGER   300000  avgt    4     264.423 ±   15.960  us/op
ArraysSort.Byte.testParallelSort      STAGGER  2000000  avgt    4    1723.418 ±   16.737  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE      800  avgt    4       2.225 ±    0.457  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE     7000  avgt    4       9.568 ±    1.139  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE    50000  avgt    4      55.230 ±    4.283  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE   300000  avgt    4     260.371 ±    0.781  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE  2000000  avgt    4    1724.491 ±   20.087  us/op
ArraysSort.Byte.testSort               RANDOM      800  avgt    4       2.457 ±    0.359  us/op
ArraysSort.Byte.testSort               RANDOM     7000  avgt    4      10.058 ±    1.817  us/op
ArraysSort.Byte.testSort               RANDOM    50000  avgt    4      56.088 ±    3.483  us/op
ArraysSort.Byte.testSort               RANDOM   300000  avgt    4     276.973 ±    1.668  us/op
ArraysSort.Byte.testSort               RANDOM  2000000  avgt    4    1816.680 ±   20.138  us/op
ArraysSort.Byte.testSort             REPEATED      800  avgt    4       1.186 ±    0.462  us/op
ArraysSort.Byte.testSort             REPEATED     7000  avgt    4       7.856 ±    2.351  us/op
ArraysSort.Byte.testSort             REPEATED    50000  avgt    4      51.115 ±    2.951  us/op
ArraysSort.Byte.testSort             REPEATED   300000  avgt    4     328.231 ±    3.469  us/op
ArraysSort.Byte.testSort             REPEATED  2000000  avgt    4    2228.552 ±   28.870  us/op
ArraysSort.Byte.testSort              STAGGER      800  avgt    4       2.362 ±    0.073  us/op
ArraysSort.Byte.testSort              STAGGER     7000  avgt    4      10.095 ±    1.472  us/op
ArraysSort.Byte.testSort              STAGGER    50000  avgt    4      50.780 ±    1.727  us/op
ArraysSort.Byte.testSort              STAGGER   300000  avgt    4     264.197 ±   13.614  us/op
ArraysSort.Byte.testSort              STAGGER  2000000  avgt    4    1726.856 ±   15.763  us/op
ArraysSort.Byte.testSort              SHUFFLE      800  avgt    4       2.256 ±    0.396  us/op
ArraysSort.Byte.testSort              SHUFFLE     7000  avgt    4       9.534 ±    1.196  us/op
ArraysSort.Byte.testSort              SHUFFLE    50000  avgt    4      55.054 ±    3.647  us/op
ArraysSort.Byte.testSort              SHUFFLE   300000  avgt    4     260.798 ±    0.751  us/op
ArraysSort.Byte.testSort              SHUFFLE  2000000  avgt    4    1719.510 ±   12.620  us/op
ArraysSort.Char.testParallelSort       RANDOM      800  avgt    4      15.140 ±    0.149  us/op
ArraysSort.Char.testParallelSort       RANDOM     7000  avgt    4     180.144 ±    1.178  us/op
ArraysSort.Char.testParallelSort       RANDOM    50000  avgt    4     826.003 ±   86.079  us/op
ArraysSort.Char.testParallelSort       RANDOM   300000  avgt    4    1962.231 ±  428.914  us/op
ArraysSort.Char.testParallelSort       RANDOM  2000000  avgt    4    5200.838 ±  498.438  us/op
ArraysSort.Char.testParallelSort     REPEATED      800  avgt    4       2.697 ±    0.072  us/op
ArraysSort.Char.testParallelSort     REPEATED     7000  avgt    4      61.701 ±   44.257  us/op
ArraysSort.Char.testParallelSort     REPEATED    50000  avgt    4     101.197 ±    2.537  us/op
ArraysSort.Char.testParallelSort     REPEATED   300000  avgt    4     659.244 ±  306.806  us/op
ArraysSort.Char.testParallelSort     REPEATED  2000000  avgt    4    2616.960 ±  238.079  us/op
ArraysSort.Char.testParallelSort      STAGGER      800  avgt    4      12.325 ±    0.195  us/op
ArraysSort.Char.testParallelSort      STAGGER     7000  avgt    4      70.768 ±   18.436  us/op
ArraysSort.Char.testParallelSort      STAGGER    50000  avgt    4     207.124 ±    0.800  us/op
ArraysSort.Char.testParallelSort      STAGGER   300000  avgt    4     715.812 ±   19.128  us/op
ArraysSort.Char.testParallelSort      STAGGER  2000000  avgt    4    2694.706 ±   31.516  us/op
ArraysSort.Char.testParallelSort      SHUFFLE      800  avgt    4       8.657 ±    0.193  us/op
ArraysSort.Char.testParallelSort      SHUFFLE     7000  avgt    4      77.437 ±   11.716  us/op
ArraysSort.Char.testParallelSort      SHUFFLE    50000  avgt    4     223.638 ±   58.168  us/op
ArraysSort.Char.testParallelSort      SHUFFLE   300000  avgt    4     741.042 ±  304.882  us/op
ArraysSort.Char.testParallelSort      SHUFFLE  2000000  avgt    4    2516.247 ±  212.126  us/op
ArraysSort.Char.testSort               RANDOM      800  avgt    4      15.051 ±    0.297  us/op
ArraysSort.Char.testSort               RANDOM     7000  avgt    4     180.478 ±    0.711  us/op
ArraysSort.Char.testSort               RANDOM    50000  avgt    4     821.885 ±   53.193  us/op
ArraysSort.Char.testSort               RANDOM   300000  avgt    4    1979.694 ±  385.911  us/op
ArraysSort.Char.testSort               RANDOM  2000000  avgt    4    5236.472 ±  434.110  us/op
ArraysSort.Char.testSort             REPEATED      800  avgt    4       2.660 ±    0.043  us/op
ArraysSort.Char.testSort             REPEATED     7000  avgt    4      61.100 ±   49.461  us/op
ArraysSort.Char.testSort             REPEATED    50000  avgt    4     101.332 ±    1.618  us/op
ArraysSort.Char.testSort             REPEATED   300000  avgt    4     664.654 ±  323.810  us/op
ArraysSort.Char.testSort             REPEATED  2000000  avgt    4    2626.735 ±  284.362  us/op
ArraysSort.Char.testSort              STAGGER      800  avgt    4      12.366 ±    0.198  us/op
ArraysSort.Char.testSort              STAGGER     7000  avgt    4      70.537 ±   16.832  us/op
ArraysSort.Char.testSort              STAGGER    50000  avgt    4     207.151 ±    0.432  us/op
ArraysSort.Char.testSort              STAGGER   300000  avgt    4     715.093 ±   32.529  us/op
ArraysSort.Char.testSort              STAGGER  2000000  avgt    4    2686.168 ±   25.136  us/op
ArraysSort.Char.testSort              SHUFFLE      800  avgt    4       8.820 ±    0.133  us/op
ArraysSort.Char.testSort              SHUFFLE     7000  avgt    4      76.123 ±    0.892  us/op
ArraysSort.Char.testSort              SHUFFLE    50000  avgt    4     223.756 ±   57.326  us/op
ArraysSort.Char.testSort              SHUFFLE   300000  avgt    4     739.868 ±  307.666  us/op
ArraysSort.Char.testSort              SHUFFLE  2000000  avgt    4    2505.713 ±  285.920  us/op
ArraysSort.Double.testParallelSort     RANDOM      800  avgt    4      17.879 ±    0.277  us/op
ArraysSort.Double.testParallelSort     RANDOM     7000  avgt    4     215.091 ±    0.938  us/op
ArraysSort.Double.testParallelSort     RANDOM    50000  avgt    4    1823.750 ±   22.500  us/op
ArraysSort.Double.testParallelSort     RANDOM   300000  avgt    4   10459.110 ±  100.213  us/op
ArraysSort.Double.testParallelSort     RANDOM  2000000  avgt    4   80477.768 ± 1775.477  us/op
ArraysSort.Double.testParallelSort   REPEATED      800  avgt    4       4.637 ±    0.295  us/op
ArraysSort.Double.testParallelSort   REPEATED     7000  avgt    4     143.333 ±    1.598  us/op
ArraysSort.Double.testParallelSort   REPEATED    50000  avgt    4    1080.862 ±   67.997  us/op
ArraysSort.Double.testParallelSort   REPEATED   300000  avgt    4    6664.948 ±   21.004  us/op
ArraysSort.Double.testParallelSort   REPEATED  2000000  avgt    4   44301.670 ±  474.473  us/op
ArraysSort.Double.testParallelSort    STAGGER      800  avgt    4       5.889 ±    0.029  us/op
ArraysSort.Double.testParallelSort    STAGGER     7000  avgt    4      50.609 ±    1.758  us/op
ArraysSort.Double.testParallelSort    STAGGER    50000  avgt    4     263.173 ±    2.828  us/op
ArraysSort.Double.testParallelSort    STAGGER   300000  avgt    4    1378.894 ±   13.243  us/op
ArraysSort.Double.testParallelSort    STAGGER  2000000  avgt    4    9967.817 ±  271.067  us/op
ArraysSort.Double.testParallelSort    SHUFFLE      800  avgt    4      12.746 ±    0.349  us/op
ArraysSort.Double.testParallelSort    SHUFFLE     7000  avgt    4      95.737 ±    4.511  us/op
ArraysSort.Double.testParallelSort    SHUFFLE    50000  avgt    4     874.167 ±   27.653  us/op
ArraysSort.Double.testParallelSort    SHUFFLE   300000  avgt    4    7434.315 ±  129.010  us/op
ArraysSort.Double.testParallelSort    SHUFFLE  2000000  avgt    4   35257.245 ±  629.365  us/op
