# Run complete. Total time: 01:21:06

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                           (builder)   (size)  Mode  Cnt       Score      Error  Units
ArraysSort.Byte.testParallelSort       RANDOM      800  avgt    4       3.378 ±    0.998  us/op
ArraysSort.Byte.testParallelSort       RANDOM     7000  avgt    4      10.168 ±   13.107  us/op
ArraysSort.Byte.testParallelSort       RANDOM    50000  avgt    4      62.990 ±    3.240  us/op
ArraysSort.Byte.testParallelSort       RANDOM   300000  avgt    4     319.839 ±    2.166  us/op
ArraysSort.Byte.testParallelSort       RANDOM  2000000  avgt    4    1844.617 ±   23.662  us/op
ArraysSort.Byte.testParallelSort     REPEATED      800  avgt    4       2.536 ±    0.174  us/op
ArraysSort.Byte.testParallelSort     REPEATED     7000  avgt    4       9.101 ±    5.383  us/op
ArraysSort.Byte.testParallelSort     REPEATED    50000  avgt    4      55.483 ±    2.918  us/op
ArraysSort.Byte.testParallelSort     REPEATED   300000  avgt    4     367.148 ±    3.023  us/op
ArraysSort.Byte.testParallelSort     REPEATED  2000000  avgt    4    2247.701 ±   68.150  us/op
ArraysSort.Byte.testParallelSort      STAGGER      800  avgt    4       2.991 ±    0.527  us/op
ArraysSort.Byte.testParallelSort      STAGGER     7000  avgt    4       9.646 ±    2.226  us/op
ArraysSort.Byte.testParallelSort      STAGGER    50000  avgt    4      56.620 ±    1.210  us/op
ArraysSort.Byte.testParallelSort      STAGGER   300000  avgt    4     283.358 ±  108.230  us/op
ArraysSort.Byte.testParallelSort      STAGGER  2000000  avgt    4    1754.625 ±   18.806  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE      800  avgt    4       3.076 ±    0.422  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE     7000  avgt    4       9.642 ±   12.073  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE    50000  avgt    4      58.448 ±    5.499  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE   300000  avgt    4     306.365 ±    1.035  us/op
ArraysSort.Byte.testParallelSort      SHUFFLE  2000000  avgt    4    1757.405 ±   33.064  us/op
ArraysSort.Byte.testSort               RANDOM      800  avgt    4       3.382 ±    0.986  us/op
ArraysSort.Byte.testSort               RANDOM     7000  avgt    4      10.143 ±   13.188  us/op
ArraysSort.Byte.testSort               RANDOM    50000  avgt    4      62.977 ±    3.500  us/op
ArraysSort.Byte.testSort               RANDOM   300000  avgt    4     321.215 ±    2.030  us/op
ArraysSort.Byte.testSort               RANDOM  2000000  avgt    4    1843.137 ±   15.720  us/op
ArraysSort.Byte.testSort             REPEATED      800  avgt    4       2.536 ±    0.257  us/op
ArraysSort.Byte.testSort             REPEATED     7000  avgt    4       9.094 ±    5.332  us/op
ArraysSort.Byte.testSort             REPEATED    50000  avgt    4      55.400 ±    1.405  us/op
ArraysSort.Byte.testSort             REPEATED   300000  avgt    4     347.719 ±    3.331  us/op
ArraysSort.Byte.testSort             REPEATED  2000000  avgt    4    2241.150 ±    8.907  us/op
ArraysSort.Byte.testSort              STAGGER      800  avgt    4       2.988 ±    0.546  us/op
ArraysSort.Byte.testSort              STAGGER     7000  avgt    4       9.636 ±    2.398  us/op
ArraysSort.Byte.testSort              STAGGER    50000  avgt    4      55.308 ±    1.082  us/op
ArraysSort.Byte.testSort              STAGGER   300000  avgt    4     282.965 ±  105.665  us/op
ArraysSort.Byte.testSort              STAGGER  2000000  avgt    4    1755.913 ±   23.029  us/op
