# Run complete. Total time: 01:20:33

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                            (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Byte.testParallelSort        100    RANDOM  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Byte.testParallelSort        100  REPEATED  avgt    4  ≈ 10⁻⁴           ms/op
ArraysSort.Byte.testParallelSort        100   STAGGER  avgt    4  ≈ 10⁻³           ms/op
ArraysSort.Byte.testParallelSort        100   SHUFFLE  avgt    4  ≈ 10⁻³           ms/op
ArraysSort.Byte.testParallelSort       1000    RANDOM  avgt    4   0.006 ±  0.004  ms/op
ArraysSort.Byte.testParallelSort       1000  REPEATED  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Byte.testParallelSort       1000   STAGGER  avgt    4   0.002 ±  0.002  ms/op
ArraysSort.Byte.testParallelSort       1000   SHUFFLE  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Byte.testParallelSort      10000    RANDOM  avgt    4   0.013 ±  0.009  ms/op
ArraysSort.Byte.testParallelSort      10000  REPEATED  avgt    4   0.011 ±  0.006  ms/op
ArraysSort.Byte.testParallelSort      10000   STAGGER  avgt    4   0.009 ±  0.004  ms/op
ArraysSort.Byte.testParallelSort      10000   SHUFFLE  avgt    4   0.009 ±  0.004  ms/op
ArraysSort.Byte.testParallelSort     100000    RANDOM  avgt    4   0.083 ±  0.024  ms/op
ArraysSort.Byte.testParallelSort     100000  REPEATED  avgt    4   0.067 ±  0.023  ms/op
ArraysSort.Byte.testParallelSort     100000   STAGGER  avgt    4   0.071 ±  0.001  ms/op
ArraysSort.Byte.testParallelSort     100000   SHUFFLE  avgt    4   0.077 ±  0.038  ms/op
ArraysSort.Byte.testParallelSort    1000000    RANDOM  avgt    4   0.699 ±  0.010  ms/op
ArraysSort.Byte.testParallelSort    1000000  REPEATED  avgt    4   0.657 ±  0.005  ms/op
ArraysSort.Byte.testParallelSort    1000000   STAGGER  avgt    4   0.665 ±  0.006  ms/op
ArraysSort.Byte.testParallelSort    1000000   SHUFFLE  avgt    4   0.666 ±  0.008  ms/op
ArraysSort.Byte.testSort                100    RANDOM  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Byte.testSort                100  REPEATED  avgt    4  ≈ 10⁻⁴           ms/op
ArraysSort.Byte.testSort                100   STAGGER  avgt    4  ≈ 10⁻³           ms/op
ArraysSort.Byte.testSort                100   SHUFFLE  avgt    4  ≈ 10⁻³           ms/op
ArraysSort.Byte.testSort               1000    RANDOM  avgt    4   0.006 ±  0.004  ms/op
ArraysSort.Byte.testSort               1000  REPEATED  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Byte.testSort               1000   STAGGER  avgt    4   0.002 ±  0.002  ms/op
ArraysSort.Byte.testSort               1000   SHUFFLE  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Byte.testSort              10000    RANDOM  avgt    4   0.014 ±  0.009  ms/op
ArraysSort.Byte.testSort              10000  REPEATED  avgt    4   0.011 ±  0.006  ms/op
ArraysSort.Byte.testSort              10000   STAGGER  avgt    4   0.009 ±  0.003  ms/op
ArraysSort.Byte.testSort              10000   SHUFFLE  avgt    4   0.009 ±  0.003  ms/op
ArraysSort.Byte.testSort             100000    RANDOM  avgt    4   0.083 ±  0.025  ms/op
ArraysSort.Byte.testSort             100000  REPEATED  avgt    4   0.069 ±  0.023  ms/op
ArraysSort.Byte.testSort             100000   STAGGER  avgt    4   0.072 ±  0.002  ms/op
ArraysSort.Byte.testSort             100000   SHUFFLE  avgt    4   0.078 ±  0.036  ms/op
ArraysSort.Byte.testSort            1000000    RANDOM  avgt    4   0.699 ±  0.014  ms/op
ArraysSort.Byte.testSort            1000000  REPEATED  avgt    4   0.657 ±  0.009  ms/op
ArraysSort.Byte.testSort            1000000   STAGGER  avgt    4   0.663 ±  0.007  ms/op
ArraysSort.Byte.testSort            1000000   SHUFFLE  avgt    4   0.667 ±  0.014  ms/op
ArraysSort.Char.testParallelSort        100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Char.testParallelSort        100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testParallelSort        100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testParallelSort        100   SHUFFLE  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testParallelSort       1000    RANDOM  avgt    4   0.045 ±  0.001  ms/op
ArraysSort.Char.testParallelSort       1000  REPEATED  avgt    4   0.004 ±  0.001  ms/op
ArraysSort.Char.testParallelSort       1000   STAGGER  avgt    4   0.014 ±  0.001  ms/op
ArraysSort.Char.testParallelSort       1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Char.testParallelSort      10000    RANDOM  avgt    4   0.180 ±  0.001  ms/op
ArraysSort.Char.testParallelSort      10000  REPEATED  avgt    4   0.054 ±  0.034  ms/op
ArraysSort.Char.testParallelSort      10000   STAGGER  avgt    4   0.058 ±  0.001  ms/op
ArraysSort.Char.testParallelSort      10000   SHUFFLE  avgt    4   0.064 ±  0.002  ms/op
ArraysSort.Char.testParallelSort     100000    RANDOM  avgt    4   0.898 ±  0.040  ms/op
ArraysSort.Char.testParallelSort     100000  REPEATED  avgt    4   0.187 ±  0.001  ms/op
ArraysSort.Char.testParallelSort     100000   STAGGER  avgt    4   0.242 ±  0.003  ms/op
ArraysSort.Char.testParallelSort     100000   SHUFFLE  avgt    4   0.275 ±  0.021  ms/op
ArraysSort.Char.testParallelSort    1000000    RANDOM  avgt    4   2.487 ±  0.050  ms/op
ArraysSort.Char.testParallelSort    1000000  REPEATED  avgt    4   0.829 ±  0.134  ms/op
ArraysSort.Char.testParallelSort    1000000   STAGGER  avgt    4   1.224 ±  0.068  ms/op
ArraysSort.Char.testParallelSort    1000000   SHUFFLE  avgt    4   1.105 ±  0.232  ms/op
ArraysSort.Char.testSort                100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Char.testSort                100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testSort                100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testSort                100   SHUFFLE  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Char.testSort               1000    RANDOM  avgt    4   0.045 ±  0.001  ms/op
ArraysSort.Char.testSort               1000  REPEATED  avgt    4   0.004 ±  0.001  ms/op
ArraysSort.Char.testSort               1000   STAGGER  avgt    4   0.014 ±  0.001  ms/op
ArraysSort.Char.testSort               1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Char.testSort              10000    RANDOM  avgt    4   0.180 ±  0.001  ms/op
ArraysSort.Char.testSort              10000  REPEATED  avgt    4   0.054 ±  0.040  ms/op
ArraysSort.Char.testSort              10000   STAGGER  avgt    4   0.062 ±  0.032  ms/op
ArraysSort.Char.testSort              10000   SHUFFLE  avgt    4   0.064 ±  0.002  ms/op
ArraysSort.Char.testSort             100000    RANDOM  avgt    4   0.898 ±  0.056  ms/op
ArraysSort.Char.testSort             100000  REPEATED  avgt    4   0.203 ±  0.001  ms/op
ArraysSort.Char.testSort             100000   STAGGER  avgt    4   0.243 ±  0.003  ms/op
ArraysSort.Char.testSort             100000   SHUFFLE  avgt    4   0.408 ±  0.692  ms/op
ArraysSort.Char.testSort            1000000    RANDOM  avgt    4   2.501 ±  0.075  ms/op
ArraysSort.Char.testSort            1000000  REPEATED  avgt    4   0.829 ±  0.139  ms/op
ArraysSort.Char.testSort            1000000   STAGGER  avgt    4   1.220 ±  0.094  ms/op
ArraysSort.Char.testSort            1000000   SHUFFLE  avgt    4   1.128 ±  0.212  ms/op
ArraysSort.Double.testParallelSort      100    RANDOM  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Double.testParallelSort      100  REPEATED  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Double.testParallelSort      100   STAGGER  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Double.testParallelSort      100   SHUFFLE  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Double.testParallelSort     1000    RANDOM  avgt    4   0.048 ±  0.001  ms/op
ArraysSort.Double.testParallelSort     1000  REPEATED  avgt    4   0.006 ±  0.001  ms/op
ArraysSort.Double.testParallelSort     1000   STAGGER  avgt    4   0.007 ±  0.001  ms/op
ArraysSort.Double.testParallelSort     1000   SHUFFLE  avgt    4   0.024 ±  0.001  ms/op
ArraysSort.Double.testParallelSort    10000    RANDOM  avgt    4   0.410 ±  0.016  ms/op
ArraysSort.Double.testParallelSort    10000  REPEATED  avgt    4   0.062 ±  0.001  ms/op
ArraysSort.Double.testParallelSort    10000   STAGGER  avgt    4   0.063 ±  0.001  ms/op
ArraysSort.Double.testParallelSort    10000   SHUFFLE  avgt    4   0.214 ±  0.003  ms/op
ArraysSort.Double.testParallelSort   100000    RANDOM  avgt    4   2.990 ±  0.077  ms/op
ArraysSort.Double.testParallelSort   100000  REPEATED  avgt    4   0.620 ±  0.002  ms/op
