# Run complete. Total time: 00:11:34

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
extra caution when trusting the results, look into the generated code to check the benchmark still
works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
different JVMs are already problematic, the performance difference caused by different Blackhole
modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.

Benchmark                         (size)    (type)  Mode  Cnt   Score    Error  Units
ArraysSort.Int.testParallelSort      100    RANDOM  avgt    4   0.004 ±  0.001  ms/op
ArraysSort.Int.testParallelSort      100  REPEATED  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Int.testParallelSort      100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testParallelSort      100   SHUFFLE  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Int.testParallelSort     1000    RANDOM  avgt    4   0.015 ±  0.001  ms/op
ArraysSort.Int.testParallelSort     1000  REPEATED  avgt    4   0.010 ±  0.001  ms/op
ArraysSort.Int.testParallelSort     1000   STAGGER  avgt    4   0.007 ±  0.001  ms/op
ArraysSort.Int.testParallelSort     1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Int.testParallelSort    10000    RANDOM  avgt    4   0.241 ±  0.026  ms/op
ArraysSort.Int.testParallelSort    10000  REPEATED  avgt    4   0.077 ±  0.002  ms/op
ArraysSort.Int.testParallelSort    10000   STAGGER  avgt    4   0.068 ±  0.004  ms/op
ArraysSort.Int.testParallelSort    10000   SHUFFLE  avgt    4   0.122 ±  0.003  ms/op
ArraysSort.Int.testParallelSort   100000    RANDOM  avgt    4   1.649 ±  0.056  ms/op
ArraysSort.Int.testParallelSort   100000  REPEATED  avgt    4   0.442 ±  0.014  ms/op
ArraysSort.Int.testParallelSort   100000   STAGGER  avgt    4   0.504 ±  0.009  ms/op
ArraysSort.Int.testParallelSort   100000   SHUFFLE  avgt    4   0.658 ±  0.065  ms/op
ArraysSort.Int.testParallelSort  1000000    RANDOM  avgt    4  15.002 ±  0.599  ms/op
ArraysSort.Int.testParallelSort  1000000  REPEATED  avgt    4   2.549 ±  0.086  ms/op
ArraysSort.Int.testParallelSort  1000000   STAGGER  avgt    4   2.977 ±  0.488  ms/op
ArraysSort.Int.testParallelSort  1000000   SHUFFLE  avgt    4   6.999 ±  0.745  ms/op
ArraysSort.Int.testSort              100    RANDOM  avgt    4   0.004 ±  0.001  ms/op
ArraysSort.Int.testSort              100  REPEATED  avgt    4   0.002 ±  0.001  ms/op
ArraysSort.Int.testSort              100   STAGGER  avgt    4   0.001 ±  0.001  ms/op
ArraysSort.Int.testSort              100   SHUFFLE  avgt    4   0.003 ±  0.001  ms/op
ArraysSort.Int.testSort             1000    RANDOM  avgt    4   0.017 ±  0.001  ms/op
ArraysSort.Int.testSort             1000  REPEATED  avgt    4   0.010 ±  0.001  ms/op
ArraysSort.Int.testSort             1000   STAGGER  avgt    4   0.007 ±  0.001  ms/op
ArraysSort.Int.testSort             1000   SHUFFLE  avgt    4   0.023 ±  0.001  ms/op
ArraysSort.Int.testSort            10000    RANDOM  avgt    4   0.191 ±  0.002  ms/op
ArraysSort.Int.testSort            10000  REPEATED  avgt    4   0.070 ±  0.001  ms/op
ArraysSort.Int.testSort            10000   STAGGER  avgt    4   0.069 ±  0.001  ms/op
ArraysSort.Int.testSort            10000   SHUFFLE  avgt    4   0.146 ±  0.004  ms/op
ArraysSort.Int.testSort           100000    RANDOM  avgt    4   2.971 ±  0.099  ms/op
ArraysSort.Int.testSort           100000  REPEATED  avgt    4   0.443 ±  0.006  ms/op
ArraysSort.Int.testSort           100000   STAGGER  avgt    4   0.734 ±  0.004  ms/op
ArraysSort.Int.testSort           100000   SHUFFLE  avgt    4   2.269 ±  0.027  ms/op
ArraysSort.Int.testSort          1000000    RANDOM  avgt    4  30.157 ±  0.715  ms/op
ArraysSort.Int.testSort          1000000  REPEATED  avgt    4   4.534 ±  0.071  ms/op
ArraysSort.Int.testSort          1000000   STAGGER  avgt    4   7.199 ±  0.852  ms/op
ArraysSort.Int.testSort          1000000   SHUFFLE  avgt    4  30.182 ±  3.497  ms/op

