# Run complete. Total time: 00:11:07

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                                      (bits)  (padding)          (scenario)  (seed)   (size)   Mode  Cnt     Score    Error  Units
RadixSortBenchmark.arraysSort                                      23          7             UNIFORM       0  1000000  thrpt    5     8,886 ±  0,085  ops/s
RadixSortBenchmark.arraysSort                                      23          7          CONTIGUOUS       0  1000000  thrpt    5  2072,430 ± 12,555  ops/s
RadixSortBenchmark.arraysSort                                      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   802,290 ±  7,284  ops/s
RadixSortBenchmark.arraysSort                                      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    60,484 ±  1,047  ops/s
RadixSortBenchmark.arraysSort                                      23          7              SORTED       0  1000000  thrpt    5    16,653 ±  0,193  ops/s
RadixSortBenchmark.arraysSort                                      23          7       ALMOST_SORTED       0  1000000  thrpt    5    13,200 ±  0,150  ops/s
RadixSortBenchmark.arraysSort                                      23          7                 EXP       0  1000000  thrpt    5    10,267 ±  0,106  ops/s

RadixSortBenchmark.dpqs11Sort                                      23          7             UNIFORM       0  1000000  thrpt    5     7,556 ±  0,012  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7          CONTIGUOUS       0  1000000  thrpt    5  1571,124 ± 19,530  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   708,347 ±  5,238  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5   782,904 ±  7,255  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7              SORTED       0  1000000  thrpt    5    10,622 ±  0,041  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7       ALMOST_SORTED       0  1000000  thrpt    5    10,658 ±  0,316  ops/s
RadixSortBenchmark.dpqs11Sort                                      23          7                 EXP       0  1000000  thrpt    5     8,825 ±  0,062  ops/s

RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7             UNIFORM       0  1000000  thrpt    5    75,656 ±  0,298  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7          CONTIGUOUS       0  1000000  thrpt    5  1634,745 ± 19,082  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5   687,829 ±  5,281  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5   817,008 ±  8,498  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7              SORTED       0  1000000  thrpt    5    17,145 ±  0,058  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7       ALMOST_SORTED       0  1000000  thrpt    5    75,987 ±  0,209  ops/s
RadixSortBenchmark.dpqs21_04NoAllocSort                            23          7                 EXP       0  1000000  thrpt    5    73,092 ±  0,296  ops/s

RadixSortBenchmark.dpqs21_04RadixSort                              23          7             UNIFORM       0  1000000  thrpt    5    75,618 ±  0,062  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7          CONTIGUOUS       0  1000000  thrpt    5    24,377 ±  0,102  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    24,328 ±  0,121  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    24,332 ±  0,172  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7              SORTED       0  1000000  thrpt    5    75,524 ±  0,409  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7       ALMOST_SORTED       0  1000000  thrpt    5    75,589 ±  0,506  ops/s
RadixSortBenchmark.dpqs21_04RadixSort                              23          7                 EXP       0  1000000  thrpt    5    73,074 ±  0,397  ops/s

RadixSortBenchmark.dpqs21_04RadixSort2                             23          7             UNIFORM       0  1000000  thrpt    5    72,464 ±  0,171  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7          CONTIGUOUS       0  1000000  thrpt    5    23,158 ±  0,785  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7  CONTIGUOUS_REVERSE       0  1000000  thrpt    5    23,355 ±  0,348  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7   ALMOST_CONTIGUOUS       0  1000000  thrpt    5    23,174 ±  0,706  ops/s
RadixSortBenchmark.dpqs21_04RadixSort2                             23          7              SORTED       0  1000000  thrpt    5    72,334 ±  0,190  ops/s
